,country,total_publications,citation_count,ratio
1,China,456398,4483598,9.82
2,United States,259058,3522174,13.6
3,Indonesia,209773,502339,2.39
4,India,171654,1091156,6.36
5,Great Britain and Northern Ireland,74736,1120605,14.99
6,Germany,68944,772964,11.21
7,Japan,53750,337673,6.28
8,Russian Federation,53498,167520,3.13
9,Canada,46340,617839,13.33
10,France,45838,376572,8.22
11,Republic of Korea,45007,515662,11.46
12,Brazil,44010,185530,4.22
13,Italy,41355,414306,10.02
14,Spain,39679,394249,9.94
15,Australia,38121,752481,19.74